CUSTOMER,MARKET SEGMENT,ASSET TYPE,PROJECT,REF CODE,DEPARTMENT,ACTIVITIES,January,February,March,April,May,June,July,August,September,October,November,December,Sum,,,,,,,,,
Shell,Upstream,FPSO,SNEPCO-Training,,Training & Support,Training,,,,,,,,,,,,,0,,,,,,,,,
Akselos,,,Training-Development,,Training & Support,Training,88,160,184,,,,,,,,,,432,,,,,,,,,
Akselos,,,Training-Migration,,Training & Support,Training,232,151,,,,,,,,,,,383,,,,,,,,,
Worley Europe Limited,Renewables,Wind - Floating,Worley-Advanced-Training,,Training & Support,Training,,41,,,,,,,,,,,41,,,,,,,,,
Shell,Downstream,Reactor,Scotford-Support,,Training & Support,Training,96,8,,,,,,,,,,,104,,,,,,,,,
Akselos,,,SNU-Training,,Training & Support,Training,,28,137,,,,,,,,,,165,,,,,,,,,
Shell,,,Shell-India-Training,,Training & Support,Training,,,119,,,,,,,,,,119,,,,,,,,,
TNO,,,TNO,,Training & Support,Training,,,48,,,,,,,,,,48,,,,,,,,,
,,,TOTAL,,,,6061,7569,8800,0,0,0,0,0,0,0,0,0,22430,,,,,,,,,
,,,TOTAL GUI,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,"TOTAL 
HUI",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activities,Total working hours,,,,,,,,,,,,,man year= 40 weeks,,Man years,,,,,,,,,,,
,Digitization Services,"12,093.7",,,,,,,,,,,,,1600,,14,total,,,,,,,,,,
,Pre-Sales Support,"1,488.0",,,,,,,,,,,,,,,8,services,,,,,,,,,,
,Post Sales Support,740.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marketing,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Software Development,"6,597.7",,,,,,,,,,,,,,,,,,,,,,,,,,
,Development Integration,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Training,"1,511.0",,,,,,,,,,,,,,,,,,,,,,,,,,
,Management,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,"22,430.3",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,better to make in Excel for clarity,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market segment,Asset type,Total working hours,,,,,,,,,,,,,,,,,,,,,,,,,
,Upstream,Manifold (SubSea),0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shipping,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Upstream,FPSO,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jacket/Platform,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,TLP,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,SALM,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Downstream,SMR,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reactor (HCU),0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tanks,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coker,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Renewables,Wind - Blades,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydro,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar - Floating,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind - Floating,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind - Fixed,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind Narcelle,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Industrials,Pump,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mining,Electric Shovel,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Support,Training,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Software Development,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Post Sales Support,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marketing,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market segment,Asset type, Number of projects,,,,,,,,,,,,,,,,,,,,,,,,,
,Upstream,Manifold (SubSea),0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shipping,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,FPSO,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jacket/Platform,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,TLP,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,SALM,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Upstream,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Downstream,SMR,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reactor (HCU),0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tanks,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coker,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Downstream,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Renewables,Wind - Blades,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydro,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar - Floating,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind - Floating,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind - Fixed,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind Narcelle,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Renewables,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Industrials,Pump,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mining,Electric Shovel,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Support,Training,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Software Development,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Post Sales Support,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marketing,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand total,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
